nome,possui_guarda,efetivo,prefeito,email_pref,telefone_pref,chefe_gm,email_gm,telefone_gm,guarda_armada,populacao,obs_mun,territorio
Pilão Arcado,NÃO,,,,,,,,NÃO,37272,,Sertão Do São Francisco
Pindaí,NÃO,,,,,,,,NÃO,15146,,Sertão Produtivo
Pindobaçu,SIM,39,,,,,,,NÃO,19625,,Piemonte Norte Do Itapicuru
Pintadas,SIM,21,,,,,,,NÃO,10656,,Bacia Do Jacuípe
Piraí Do Norte,NÃO,,,,,,,,NÃO,11429,,Baixo Sul
Piripá,SIM,16,,,,,,,NÃO,9255,,Vitória Da Conquista
Piritiba,SIM,3,,,,,,,NÃO,17838,,Piemonte Do Paraguaçu
Planaltino,NÃO,,,,,,,,NÃO,8254,,Vale Do Jiquiriça
Planalto,SIM,62,,administracao@planalto.ba.gov.br,,,,,NÃO,24036,,Vitória Da Conquista
Poções,SIM,39,,,,,,,NÃO,50642,,Vitória Da Conquista
Pojuca,SIM,91,,prefeito@pojuca.ba.gov.br,(71) 3645-1147,,,,NÃO,33608,,Litoral Norte E Agreste Baiano
Ponto Novo,SIM,44,,,,,,,NÃO,18670,,Piemonte Norte Do Itapicuru
Porto Seguro,SIM,121,,gabinetedoprefeito@portoseguro.ba.gov.br,(73) 98855-3106,,guardacivilmunicipalportoseguro@hotmail.com,,NÃO,181007,,Costa Do Descobrimento
Potiraguá,SIM,22,,,,,,,NÃO,10636,,Médio Sudoeste Da Bahia
Prado,NÃO,,,,,,,,NÃO,37241,,Extremo Sul
Presidente Dutra,NÃO,,,,,,,,NÃO,15650,,Irecê
Presidente Jânio Quadros,NÃO,,,,,,,,NÃO,12986,,Vitória Da Conquista
Presidente Tancredo Neves,NÃO,,,,,,,,NÃO,29343,,Baixo Sul
Queimadas,SIM,58,,atendimento156@salvador.ba.gov.br ,(75) 3644-1247,, ,,NÃO,27362,,Sisal
Quijingue,NÃO,,,,,,,,NÃO,26457,,Sisal
Quixabeira,SIM,35,,,,,,,NÃO,9815,,Bacia Do Jacuípe
Rafael Jambeiro,NÃO,,,,,,,,NÃO,20146,,Piemonte Do Paraguaçu
Remanso,NÃO,,,,,,,,NÃO,42746,,Sertão Do São Francisco
Retirolândia,SIM,5,,,,,,,NÃO,14147,,Sisal
Riachão Das Neves,SIM,57,,gabinete@riachaodasneves.ba.gov.br,,,,,NÃO,22323,,Bacia Do Rio Grande
Riachão Do Jacuípe,NÃO,,,,,,,,NÃO,35118,,Bacia Do Jacuípe
Riacho De Santana,NÃO,,,,,,,,NÃO,32103,,Velho Chico
Ribeira Do Amparo,SIM,30,,,,,,,NÃO,14525,,Semiárido Nordeste Ii
Ribeira Do Pombal,SIM,45,, gabinete@ribeiradopombal.ba.gov.br,(75) 3276-1026 / 1688,,,,NÃO,56170,,Semiárido Nordeste Ii
Ribeirão Do Largo,SIM,10,,,,,,,NÃO,10039,,Vitória Da Conquista
Rio De Contas,SIM,14,,,,,,,NÃO,13627,,Chapada Diamantina
Rio Do Antônio,SIM,10,,,,,,,NÃO,13520,,Sertão Produtivo
Rio Do Pires,NÃO,,,,,,,,NÃO,10801,,Bacia Do Paramirim
Rio Real,NÃO,,,,,,,,NÃO,36997,,Litoral Norte E Agreste Baiano
Rodelas,NÃO,,,,,,,,NÃO,10801,,Itaparica
Ruy Barbosa,SIM,6,,,,,,,NÃO,29606,,Piemonte Do Paraguaçu
Salinas das Margaridas,SIM,11,,,,,,,NÃO,15568,,Metropolitana De Salvador
Salvador,SIM,1375,,"secom.gabp@salvador.ba.gov.br
71 3202-5312
123213231",,,gabinete.gms@salvador.ba.gov.br,,SIM,2552853,Cidade com o maior efetivo de guardas,Metropolitana De Salvador
Santa Bárbara,SIM,8,,,,,,,NÃO,21723,,Portal Do Sertão
Santa Brígida,NÃO,,,,,,,,NÃO,15421,,Semiárido Nordeste Ii
Santa Cruz Cabrália,NÃO,,,,,,,,NÃO,30862,,Médio Sudoeste Da Bahia
Santa Cruz Da Vitória,SIM,26,,,,,,,NÃO,4721,,Costa Do Descobrimento
Santa Inês,SIM,8,,prefeituramunicipalscv@gmail.com,(73) 3627-2142,,robsonaraujo080703@gmail.com,,NÃO,10628,,Vale Do Jiquiriça
Santa Luzia,SIM,33,,,,,,,NÃO,39922,,Litoral Sul
Santa Maria Da Vitória,NÃO,,,,,,,,NÃO,14377,,Bacia Do Rio Corrente
Santa Rita De Cássia,SIM,11,,,,,,,NÃO,40467,,Bacia Do Rio Grande
Santa Teresinha,NÃO,,,,,,,,NÃO,25520,,Piemonte Do Paraguaçu
Santaluz,SIM,31,,,,,,,NÃO,9023,,Sisal
Santana,SIM,29,,cpd@santana.ba.gov.br,,,,,NÃO,28826,,Bacia Do Rio Corrente
Santanópolis,SIM,11,,,,,,,NÃO,10847,,Portal Do Sertão
Santo Amaro,SIM,13,,,,,,,NÃO,58413,,Recôncavo
Santo Antônio De Jesus,SIM,67,,falecom@saj.ba.gov.br,(75) 988890105,,gcmsaj1994@gmail.com,,SIM,109267,,Recôncavo
Santo Estêvão,SIM,38,,,,,,,NÃO,54940,,Portal Do Sertão
São Desidério,SIM,8,,,,,,,NÃO,34783,,Bacia Do Rio Grande
São Domingos,NÃO,,,,,,,,NÃO,8693,,Sisal
São Felipe,NÃO,,,,,,,,NÃO,11198,,Recôncavo
São Félix,SIM,8,,,,,,,NÃO,15740,,Recôncavo
São Félix Do Coribe,SIM,33,,,,,,,NÃO,20918,,Bacia Do Rio Corrente
São Francisco Do Conde,SIM,113,,,,,,,NÃO,40932,,Recôncavo
São Gabriel,SIM,3,,,,,,,NÃO,19210,,Irecê
São Gonçalo Dos Campos,SIM,58,, gabinete@saogoncalodoscampos.ba.gov.br,,,guardacivilmunicipal@saogoncalodoscampos.ba.gov.br,,NÃO,41909,,Portal Do Sertão
São José Da Vitória,SIM,12,,,,,,,NÃO,5451,,Litoral Sul
São José Do Jacuípe,SIM,26,,,,,,,NÃO,10556,,Bacia Do Jacuípe
São Miguel Das Matas,NÃO,,,,,,,,NÃO,10634,,Vale Do Jiquiriça
São Sebastião do Passé,NÃO,,,,,,,,NÃO,42936,,Recôncavo
Sapeaçu,NÃO,,,,,,,,NÃO,18609,,Recôncavo
Sátiro Dias,SIM,18,,,,,,,NÃO,16485,,Litoral Norte E Agreste Baiano
Saubara,NÃO,,,,,,,,NÃO,11842,,Recôncavo
Saúde,SIM,39,,,,,,,NÃO,10715,,Piemonte Da Diamantina
Seabra,NÃO,,,,,,,,NÃO,48530,,Chapada Diamantina
Sebastião Laranjeiras,NÃO,,,,,,,,NÃO,9610,,Sertão Produtivo
Senhor Do Bonfim,SIM,75,,gabinete@senhordobonfim.ba.gov.br,,,guardacivilmunicipal.sb@hotmail.com,,NÃO,77976,,Piemonte Norte Do Itapicuru
Sento Sé,SIM,33,,,,,,,NÃO,36119,,Sertão Do São Francisco
Serra Do Ramalho,SIM,39,,,,,,,NÃO,40147,,Velho Chico
Serra Dourada,SIM,30,,pmsd@serradourada.ba.gov.br,(77) 3686-2079,,,,NÃO,17580,,Bacia Do Rio Corrente
Serra Preta,SIM,35,,,,,,,NÃO,18685,,Bacia Do Jacuípe
Serrinha,SIM,64,,sedes@serrinha.ba.gov.br,(75) 3261 8300,,gcmserrinha@gmail.com,,NÃO,84428,,Sisal
Serrolândia,SIM,13,,,,,,,NÃO,13831,,Piemonte Da Diamantina
Simões Filho,SIM,45,,assessoriadoprefeito@simoesfilho.ba.gov.br,(71) 3396-2579,,,,NÃO,120394,,Metropolitana De Salvador
Sítio Do Mato,NÃO,,,,,,,,NÃO,13935,,Velho Chico
Sítio Do Quinto,SIM,8,,,,,,,NÃO,14359,,Semiárido Nordeste Ii
Sobradinho,NÃO,,,,,,,,NÃO,26959,,Sertão Do São Francisco
Souto Soares,SIM,13,,,,,,,NÃO,17674,,Chapada Diamantina
Tabocas Do Brejo Velho,SIM,19,,,,,,,NÃO,12368,,Bacia Do Rio Corrente
Tanhaçu,NÃO,,,,,,,,NÃO,21741,,Sertão Produtivo
Tanque Novo,NÃO,,,,,,,,NÃO,17770,,Bacia Do Paramirim
Tanquinho,NÃO,,,,,,,,NÃO,7983,,Portal Do Sertão
Taperoá,SIM,39,,,,,,,NÃO,18571,,Baixo Sul
Tapiramutá,SIM,11,,,,,,,NÃO,16253,,Piemonte Do Paraguaçu
Teixeira De Freitas,SIM,175,,"gabpmtf@pm.teixeiradefreitas.ba.gov.br
gabpmtf@hotmail.com",(73) 3011-0300 / 0329,,,,SIM,153332,,Extremo Sul
Teodoro Sampaio,NÃO,,,,,,,,NÃO,7301,,Portal Do Sertão
Teofilândia,NÃO,,,,,,,,NÃO,21827,,Sisal
Teolândia,SIM,,,,,,,,NÃO,15919,,Baixo Sul
Terra Nova,SIM,23,,,,,,,NÃO,11035,,Portal Do Sertão
Tremedal,NÃO,,,,,,,,NÃO,16691,,Vitória Da Conquista
Tucano,SIM,94,, gabinete@tucano.ba.gov.br,,,,,NÃO,50959,,Sisal
Uauá,SIM,50,,gabinete.prefeito@uaua.ba.gov.br,(74) 99805-0482,,,,NÃO,25441,,Sertão Do São Francisco
Ubaíra,SIM,16,,,,,,,NÃO,19162,,Vale Do Jiquiriça
Ubaitaba,SIM,13,,,,,,,NÃO,17967,,Litoral Sul
Ubatã,SIM,16,,,,,,,NÃO,16097,,Médio Rio De Contas
Uibaí,SIM,6,,,,,,,NÃO,13880,,Irecê
Umburanas,SIM,23,,,,,,,NÃO,13888,,Piemonte Da Diamantina
Una,SIM,20,,,,,,,NÃO,18403,,Litoral Sul
Urandi,NÃO,,,,,,,,NÃO,15794,,Sertão Produtivo
Uruçuca,SIM,4,,,,,,,NÃO,22130,,Litoral Sul
Utinga,SIM,28,,,,,,,NÃO,16691,,Chapada Diamantina
Valença,SIM,93,,"imprensa@valenca.ba.gov.br  
gabprefeito@valenca.ba.gov.br
prefeituramunicipalscv@gmail.com",(75) 3641-4621 / 3641-8610,,,,NÃO,90028,,Baixo Sul
Valente,SIM,4,,,,,,,NÃO,25126,,Sisal
Várzea Da Roça,SIM,39,,,,,,,NÃO,14279,,Bacia Do Jacuípe
Várzea Do Poço,SIM,12,,,,,,,NÃO,8344,,Bacia Do Jacuípe
Várzea Nova,SIM,24,,"prefeiturav.n@gmail.com
camaravereadoresvn@gmail.com",(74) 3659-2125,,,,NÃO,13847,,Piemonte Da Diamantina
Varzedo,NÃO,,,,,,,,NÃO,10296,,Recôncavo
Vera Cruz,SIM,17,,,,,,,NÃO,44978,,Metropolitana De Salvador
Vereda,NÃO,,,,,,,,NÃO,6171,,Extremo Sul
Vitória Da Conquista,SIM,197,,gabinetedaprefeita@pmvc.ba.gov.br,"(77) 3421-9671
(77) 3424-8500",,"guardamunicipalvca@gmail.com
guardamunicipal@pmvc.ba.gov.br",,SIM,394024,,Vitória Da Conquista
Wagner,NÃO,,,secadmwagner@gmail.com,,,,,NÃO,9847,,Chapada Diamantina
Wanderley,NÃO,,,,,,,,NÃO,13436,,Bacia Do Rio Grande
Wenceslau Guimarães,SIM,26,,,,,,,NÃO,25430,,Baixo Sul
Xique-Xique,NÃO,,,,,,,,NÃO,46979,,Irecê
,270,9838,,,,,,,,,,
